index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
297,1,170126,11303800,116211,45.432375,12.357836,0,489,-16.48,-7.03,-1,260117,12303800,0.758
298,1,170126,11303800,116613,45.432375,12.357836,0,485,-20.28,-9.44,-1,260117,12303800,0.795
299,1,170126,11303800,117013,45.432375,12.357836,0,484,-21.06,-1.97,-1,260117,12303800,0.808
300,1,170126,11303900,117415,45.432375,12.357836,0,483,-21.84,-1.94,-1,260117,12303900,0.803
301,1,170126,11303900,117816,45.432375,12.357836,0,480,-24.59,-6.86,-1,260117,12303900,0.832
302,1,170126,11304000,118251,45.432375,12.357836,0,475,-29.3,-10.81,-1,260117,12304000,0.857
303,1,170126,11304000,118654,45.432375,12.357836,0,471,-32.96,-9.1,-1,260117,12304000,0.879
304,1,170126,11304000,119054,45.432375,12.357836,0,468,-35.61,-6.6,-1,260117,12304000,0.897
305,1,170126,11304100,119456,45.432375,12.357836,0,467,-36.24,-1.58,-1,260117,12304100,0.895
306,1,170126,11304100,119857,45.432375,12.357836,0,469,-33.9,5.84,-1,260117,12304100,0.91
307,1,170126,11304200,120260,45.432376,12.357835,0,475,-27.62,15.58,-1,260117,12304200,0.924
308,1,170126,11304200,120662,45.432376,12.357835,0,473,-29.32,-4.24,-1,260117,12304200,0.922
309,1,170126,11304200,121065,45.432376,12.357835,0,471,-31.01,-4.19,-1,260117,12304200,0.923
310,1,170126,11304300,121467,45.432376,12.357835,0,473,-28.72,5.7,-1,260117,12304300,0.93
311,1,170126,11304300,121866,45.432376,12.357835,0,474,-27.44,3.2,-1,260117,12304300,0.918
312,1,170126,11304400,122269,45.432376,12.357834,0,475,-26.18,3.14,-1,260117,12304400,0.904
313,1,170126,11304400,122670,45.432376,12.357834,0,475,-25.91,0.65,-1,260117,12304400,0.876
314,1,170126,11304400,123069,45.432376,12.357834,0,473,-27.64,-4.31,-1,260117,12304400,0.88
315,1,170126,11304500,123471,45.432376,12.357834,0,468,-32.31,-11.63,-1,260117,12304500,0.898
316,1,170126,11304500,123873,45.432376,12.357834,0,466,-33.97,-4.12,-1,260117,12304500,0.906
